year,municipality,piped_water_percentage,electricity_lighting_total,population
2011,295,0.994276854,0.921719931,203842.5539
2011,296,0.957747023,0.793254499,191620.42
2011,297,0.988135187,0.899261159,281905.0576
2011,298,0.970574947,0.858691951,123976.0478
2011,299,0.982132039,0.844997261,1152115.43
2011,360,0.992152311,0.642625207,89530.12741
2011,361,0.989838911,0.828441549,93651.49026
2011,362,0.988861393,0.821735806,41616.94011
2011,363,0.98616338,0.90813728,11982.4303
2011,364,0.965886973,0.885515557,47041.18514
2011,365,0.54164006,0.490203999,10187.00175
2011,366,0.846300124,0.802995518,21578.13096
2011,367,0.855046247,0.799303714,12588.23963
2011,368,0.962274552,0.856272882,12465.02847
2011,369,0.658000367,0.368840824,18600.86499
2011,370,0.979039561,0.762979541,28376.28914
2011,371,0.802016737,0.72697724,42355.85232
2011,372,0.950728666,0.854718839,11673.01448
2011,373,0.82709928,0.71936043,10978.2388
2011,374,0.855679266,0.835477444,15700.51846
2011,375,0.96095625,0.919019612,21590.80573
2011,376,0.663253412,0.652104815,37075.56739
2011,377,0.830519992,0.814767082,7003.4685
2011,378,0.9156622,0.821218112,65868.89173
2011,379,0.680311366,0.581690534,93494.04904
2011,380,0.798816799,0.732163393,16637.14741
2011,381,0.676652821,0.753757148,35093.08877
2011,382,0.745416747,0.6921099,18686.75539
2011,383,0.572554425,0.142173356,248040.5913
2011,384,0.582644251,0.290910387,46840.72632
2011,385,0.959955186,0.425756551,24204.20693
2011,386,0.437896731,0.554408872,63000.09408
2011,460,0.689774212,0.650610929,38628.3822
2011,461,0.97076535,0.934713761,49170.52223
2011,462,0.670289474,0.446160655,34145.78651
2011,463,0.831625763,0.837153961,24313.95629
2011,464,0.677914909,0.620336821,63334.19411
2011,465,0.744041633,0.582259591,28986.32065
2011,466,0.716847286,0.689275385,47625.08823
2011,467,0.58345848,0.498903436,406460.834
2011,468,0.835747936,0.753919754,81219.88294
2011,469,0.976415996,0.806873821,112596.8753
2011,470,0.656262384,0.538540535,128703.6568
2011,471,0.525378386,0.644623841,60324.45508
2011,472,0.924031905,0.791344399,335783.929
2011,473,0.785430853,0.530415082,47772.4405
2011,474,0.45603693,0.251259258,51056.45163
2011,475,0.627902087,0.583083142,160532.0145
2011,477,0.960964942,0.871576475,120520.3392
2011,478,0.587103716,0.484926629,149107.9448
2011,479,0.869400308,0.80678435,57875.61676
2011,499,0.83450859,0.72109389,747431.0946
2011,503,0.781447129,0.627546697,160975.4271
2011,504,0.733620101,0.730024713,96556.15929
2011,505,0.46098407,0.636302787,52540.11443
2011,506,0.673765812,0.734413922,256135.0373
2011,514,0.46396768,0.337405974,237436.7956
2011,524,0.826651293,0.824706732,363235.9542
2011,525,0.941896787,0.902177653,34441.9673
2011,526,0.69998731,0.373025187,102161.3173
2011,529,0.971972376,0.898641843,211059.8574
2011,538,0.849791931,0.89045591,334458.7918
2011,542,0.906920506,0.907600566,114416.1826
2011,546,0.75787808,0.8621994,96724.12947
2011,560,0.970188183,0.908291858,77402.52118
2011,561,0.821500227,0.905861292,78874.67789
2011,562,0.881622482,0.832885861,106373.8433
2011,563,0.888915969,0.872107311,92710.12143
2011,564,0.932138295,0.764454462,38103.11067
2011,565,0.869015874,0.894001273,33105.09609
2011,566,0.826748235,0.879642528,618535.753
2011,567,0.943741771,0.946292492,63141.69046
2011,568,0.783611342,0.957399691,65792.96577
2011,569,0.960969561,0.829827293,103116.1788
2011,570,0.757023833,0.919407346,83153.32936
2011,571,0.938211176,0.768312783,132067.7956
2011,573,0.973249412,0.850003536,113073.4462
