province_from,municipality_to,population_group,flow
1,677,Black African,422.73652
1,677,Coloured,46.73306
1,677,Indian or Asian,21.52144
1,677,White,578.31152
1,677,Other,1.34509
1,678,Black African,15.38241
1,678,Coloured,0
1,678,Indian or Asian,2.69018
1,678,White,39.70112
1,678,Other,0
1,363,Black African,77.4084
1,363,Coloured,162.18448
1,363,Indian or Asian,0
1,363,White,98.47136
1,363,Other,1.24163
1,364,Black African,51.2097
1,364,Coloured,666.11505
1,364,Indian or Asian,18.3307
1,364,White,256.79967
1,364,Other,24.22289
1,365,Black African,20.97194
1,365,Coloured,313.42371
1,365,Indian or Asian,0
1,365,White,70.24092
1,365,Other,1.24163
1,366,Black African,22.57483
1,366,Coloured,543.79919
1,366,Indian or Asian,11.57553
1,366,White,282.20366
1,366,Other,16.36418
1,367,Black African,40.5928
1,367,Coloured,303.36898
1,367,Indian or Asian,4.96652
1,367,White,187.1642
1,367,Other,6.45103
1,368,Black African,23.23596
1,368,Coloured,209.58808
1,368,Indian or Asian,4.12575
1,368,White,82.70861
1,368,Other,8.23968
1,369,Black African,95.26891
1,369,Coloured,282.83462
1,369,Indian or Asian,0
1,369,White,141.48702
1,369,Other,3.72489
1,370,Black African,142.7772
1,370,Coloured,134.27347
1,370,Indian or Asian,1.39961
1,370,White,58.20988
1,370,Other,0
1,371,Black African,263.73102
1,371,Coloured,285.36055
1,371,Indian or Asian,1.39961
1,371,White,109.93762
1,371,Other,7.92372
1,372,Black African,30.44286
1,372,Coloured,188.68613
1,372,Indian or Asian,0
1,372,White,93.05022
1,372,Other,5.1245
1,373,Black African,36.58832
1,373,Coloured,41.66153
1,373,Indian or Asian,7.76574
1,373,White,30.03841
1,373,Other,0
1,374,Black African,25.93846
1,374,Coloured,55.21099
1,374,Indian or Asian,0
1,374,White,88.29687
1,374,Other,0
1,375,Black African,53.51941
1,375,Coloured,156.02091
1,375,Indian or Asian,0
1,375,White,65.05875
1,375,Other,0
1,376,Black African,57.10996
1,376,Coloured,61.35659
1,376,Indian or Asian,2.79922
1,376,White,85.26672
1,376,Other,10.80784
1,377,Black African,0
1,377,Coloured,67.40018
1,377,Indian or Asian,2.64124
1,377,White,12.10534
1,377,Other,1.32653
1,378,Black African,33.12456
1,378,Coloured,355.86466
1,378,Indian or Asian,3.72489
1,378,White,200.63405
1,378,Other,3.96777
1,379,Black African,133.29394
1,379,Coloured,446.63747
1,379,Indian or Asian,18.01474
1,379,White,371.62149
1,379,Other,25.57163
1,380,Black African,15.84744
1,380,Coloured,53.75838
1,380,Indian or Asian,2.79922
1,380,White,39.91842
1,380,Other,1.24163
1,381,Black African,68.88359
1,381,Coloured,116.86266
1,381,Indian or Asian,1.24163
1,381,White,82.39122
1,381,Other,0
1,382,Black African,24.61318
1,382,Coloured,58.50918
1,382,Indian or Asian,1.39961
1,382,White,59.73938
1,382,Other,1.24163
1,383,Black African,234.44587
1,383,Coloured,520.6258
1,383,Indian or Asian,36.86218
1,383,White,330.28982
1,383,Other,36.14786
1,384,Black African,27.73893
1,384,Coloured,36.84011
1,384,Indian or Asian,0
1,384,White,24.75718
1,384,Other,18.51232
1,385,Black African,13.97389
1,385,Coloured,7.98926
1,385,Indian or Asian,1.24163
1,385,White,24.06491
1,385,Other,1.39961
1,386,Black African,21.55281
1,386,Coloured,31.24556
1,386,Indian or Asian,3.87096
1,386,White,55.56419
1,386,Other,0
1,360,Black African,18.04168
1,360,Coloured,15.74567
1,360,Indian or Asian,2.14348
1,360,White,27.10287
1,360,Other,0
1,361,Black African,80.63051
1,361,Coloured,49.79507
1,361,Indian or Asian,2.14348
1,361,White,83.40861
1,361,Other,3.17964
1,362,Black African,88.77758
1,362,Coloured,188.3262
1,362,Indian or Asian,3.79922
1,362,White,178.03308
1,362,Other,2.56816
1,160,Black African,3982.32974
1,160,Coloured,47623.33493
1,160,Indian or Asian,350.37786
1,160,White,8318.6757
1,160,Other,738.81582
1,161,Black African,3583.87286
1,161,Coloured,36575.98565
1,161,Indian or Asian,131.32156
1,161,White,4735.95249
1,161,Other,79.72523
1,162,Black African,3065.90421
1,162,Coloured,42421.63957
1,162,Indian or Asian,187.18394
1,162,White,9010.39195
1,162,Other,152.20888
1,163,Black African,16700.06175
1,163,Coloured,53789.68609
1,163,Indian or Asian,655.24719
1,163,White,14441.98584
1,163,Other,553.93966
1,164,Black African,11853.65493
1,164,Coloured,70505.22778
1,164,Indian or Asian,404.25015
1,164,White,15276.15563
1,164,Other,507.5197
1,165,Black African,17722.16417
1,165,Coloured,74881.1209
1,165,Indian or Asian,193.61575
1,165,White,7633.73055
1,165,Other,615.91221
1,166,Black African,49221.81395
1,166,Coloured,150541.4682
1,166,Indian or Asian,751.28525
1,166,White,28693.85409
1,166,Other,1525.93459
1,167,Black African,34242.99579
1,167,Coloured,78442.14052
1,167,Indian or Asian,367.35767
1,167,White,19815.05318
1,167,Other,612.51995
1,168,Black African,31807.36337
1,168,Coloured,102315.1254
1,168,Indian or Asian,680.22655
1,168,White,14654.40521
1,168,Other,902.14645
1,169,Black African,13316.22083
1,169,Coloured,67125.66489
1,169,Indian or Asian,225.23341
1,169,White,10296.63267
1,169,Other,495.57287
1,170,Black African,3150.22311
1,170,Coloured,24135.37249
