date	week	weekday	value	currency	target	Food/Household	Local Transport	Rent	Sport	Phone/Internet	Fees	Special	category	place
2013-09-02	90	1	43.70	sek (from eur x8.74)	HSL travels							Local Transport	Local Transport	Helsinki
2013-09-02	90	1	73.85	sek (from eur x8.74)	K-market food	Food/Household							Food/Household	Helsinki
2013-09-02	90	1	50.69	sek (from eur x8.74)	S-market food	Food/Household							Food/Household	Helsinki
2013-09-02	90	1	865.26	sek (from eur x8.74)	AYY membership							Fees	Fees	Helsinki
2013-09-02	90	1	131.10	sek (from eur x8.74)	Student card							Fees	Fees	Helsinki
2013-09-02	90	1	69.92	sek (from eur x8.74)	Tietokiltta							Fees	Fees	Helsinki
2013-09-02	90	1	2500.00	sek	NerdyByNerds							Investment	Investment	Helsinki
2013-09-03	90	2	699.00	sek	SAS + Norwegian HEL-ARN-HEL							Travels	Travels	Helsinki
2013-09-01	89	7	2053.90	sek (from eur x8.74)	HOAS Housing							Rent	Rent	Helsinki
2013-09-08	90	7	218.06	sek (from eur x8.74)	Lidl food	Food/Household							Food/Household	Helsinki
2013-09-09	91	1	132.61	sek	WWOOF Sverige fee							Travels	Travels	Helsinki
2013-09-10	91	2	32.78	sek (from eur x8.74)	posti							Presents	Presents	Helsinki
2013-09-10	91	2	285.80	sek (from eur x8.74)	HSL travels							Local Transport	Local Transport	Helsinki
2013-09-12	91	4	57.25	sek (from eur x8.74)	Apoteket							Other	Other	Helsinki
2013-09-18	92	3	22.72	sek (from eur x8.74)	Lunch at Amica	Food/Household							Food/Household	Helsinki
2013-09-19	92	4	44.66	sek (from eur x8.74)	S-MARKET ESPOON KESKUS	Food/Household							Food/Household	Helsinki
2013-09-20	92	5	22.72	sek (from eur x8.74)	Lunch at Amica	Food/Household							Food/Household	Helsinki
2013-09-23	93	1	200.00	sek	Train to Stockholm							Travels	Travels	Uppsala
2013-09-23	93	1	25.00	sek	Kista Grossen	Food/Household							Food/Household	Uppsala
2013-09-23	93	1	93.59	sek (from rur x4.979)	Bus to Uppsala from ARN							Travels	Travels	Uppsala
2013-09-24	93	2	90.00	sek	Bus to Arlanda							Travels	Travels	Uppsala
2013-09-25	93	3	102.70	sek (from eur x8.74)	Lidl food	Food/Household							Food/Household	Helsinki
2013-09-25	93	3	31.11	sek (from eur x8.74)	Alepa Otaniemi	Food/Household							Food/Household	Helsinki
2013-09-27	93	5	25.00	sek	Card fee						Fees		Fees	Helsinki
2013-09-27	93	5	255.96	sek	Norwegian HEL-ARN for October							Travels	Travels	Helsinki
2013-09-30	94	1	38.37	sek (from eur x8.74)	S-market food	Food/Household							Food/Household	Helsinki
2013-09-28	93	6	72.18	sek (from rur x4.979)	Behance							Fees	Fees	Helsinki
2013-10-02	94	3	22.72	sek (from eur x8.74)	Lunch at Amica	Food/Household							Food/Household	Helsinki
2013-10-03	94	4	130.23	sek (from eur x8.74)	Lidl Helsinki	Food/Household							Food/Household	Helsinki
2013-10-01	94	2	2053.90	sek (from eur x8.74)	HOAS Housing							Rent	Rent	Helsinki
2013-10-07	95	1	33.30	sek (from eur x8.74)	Alepa Otaniemi	Food/Household							Food/Household	Helsinki
2013-10-08	95	2	80.00	sek	Viking Line boat							Travels	Travels	Helsinki
2013-10-15	96	2	123.58	sek (from eur x8.74)	K-market household items	Food/Household							Food/Household	Helsinki
2013-10-23	97	3	72.00	sek	SL metro							Travels	Travels	Uppsala
2013-10-23	97	3	56.00	sek	SL metro							Travels	Travels	Uppsala
2013-10-25	97	5	87.40	sek (from eur x8.74)	Tea from Thehuone							Presents	Presents	Helsinki
2013-10-28	98	1	195.95	sek (from eur x8.74)	Lidl Helsinki	Food/Household							Food/Household	Helsinki
2013-10-29	98	2	327.84	sek (from eur x8.74)	Norwegian HEL-ARN for December							Travels	Travels	Helsinki
2013-10-28	98	1	70.98	sek (from rur x4.979)	Behance							Fees	Fees	Helsinki
2013-10-30	98	3	25.00	sek	Card fee						Fees		Fees	Helsinki
2013-11-01	98	5	218.50	sek (from eur x8.74)	WWOOF Sverige fee							Travels	Travels	Helsinki
2013-11-05	99	2	103.83	sek (from eur x8.74)	Lidl Helsinki	Food/Household							Food/Household	Helsinki
2013-11-01	98	5	2053.90	sek (from eur x8.74)	HOAS Housing							Rent	Rent	Helsinki
2013-11-11	100	1	87.40	sek (from eur x8.74)	HSL travels							Local Transport	Local Transport	Helsinki
2013-11-11	100	1	219.37	sek (from eur x8.74)	HSL travels							Local Transport	Local Transport	Helsinki
2013-11-12	100	2	22.72	sek (from eur x8.74)	Lunch at Amica	Food/Household							Food/Household	Helsinki
2013-11-19	101	2	22.72	sek (from eur x8.74)	Lunch at Amica	Food/Household							Food/Household	Helsinki
2013-11-20	101	3	89.32	sek (from eur x8.74)	Lidl Helsinki	Food/Household							Food/Household	Helsinki
2013-11-20	101	3	1596.00	sek	Norwegian ARN-MMX-ARN							Travels	Travels	Helsinki
2013-11-28	102	4	25.00	sek	Card fee						Fees		Fees	Helsinki
2013-11-29	102	5	22.72	sek (from eur x8.74)	Lunch at Amica	Food/Household							Food/Household	Helsinki
2013-12-02	103	1	151.38	sek (from eur x8.74)	Lidl Helsinki	Food/Household							Food/Household	Helsinki
2013-12-01	102	7	2053.90	sek (from eur x8.74)	HOAS Housing							Rent	Rent	Helsinki
2013-12-12	104	4	1000.00	sek	Swedish residence permit							Fees	Fees	Helsinki
2013-12-16	105	1	115.54	sek (from eur x8.74)	Lidl Helsinki	Food/Household							Food/Household	Helsinki
2013-12-16	105	1	311.58	sek (from eur x8.74)	Posti							Presents	Presents	Helsinki
2013-12-16	105	1	129.79	sek (from eur x8.74)	Body Shop							Presents	Presents	Helsinki
2013-12-16	105	1	21.85	sek (from eur x8.74)	Mummin packaging paper							Presents	Presents	Helsinki
2013-12-16	105	1	69.83	sek (from eur x8.74)	Oils and candles							Presents	Presents	Helsinki
2013-12-17	105	2	366.21	sek (from eur x8.74)	Taxi to Airport							Travels	Travels	Helsinki
2013-12-17	105	2	50.00	sek	Comviq Amigos 50					Phone/Internet			Phone/Internet	Uppsala
2013-12-18	105	3	104.90	sek	Hemk?p Uppsala							Food/Household	Food/Household	Uppsala
2013-12-18	105	3	30.77	sek	Coop Uppsala	Food/Household							Food/Household	Uppsala
2013-12-19	105	4	9.90	sek	ICA Uppsala	Food/Household							Food/Household	Uppsala
2013-12-20	105	5	178.00	sek	Bus from Malm? Airport							Travels	Travels	Sk?ne
2013-12-20	105	5	108.00	sek	Bus to Arlanda							Travels	Travels	Sk?ne
2013-12-20	105	5	185.00	sek	Train to Helsingborg							Travels	Travels	Sk?ne
2013-12-20	105	5	58.00	sek	Bus to Hasslarp							Travels	Travels	Sk?ne
2013-12-23	106	1	16.61	sek (from eur x8.74)	Nordea Bank Fee							Fees	Fees	Sk?ne
2013-12-27	106	5	25.00	sek	Card fee						Fees		Fees	Sk?ne
2014-01-05	107	7	158.00	sek	Bus to Malm? Airport							Travels	Travels	Sk?ne
2014-01-06	108	1	108.00	sek	But to Uppsala							Travels	Travels	Sk?ne
2014-01-07	108	2	81.00	sek	Bus to V?ster?s							Local Transport	Local Transport	V?ster?s
2014-01-07	108	2	280.51	sek	Coop V?ster?s	Food/Household							Food/Household	V?ster?s
2014-01-09	108	4	132.15	sek	Coop V?ster?s	Food/Household							Food/Household	V?ster?s
2014-01-13	109	1	2500.00	sek	Instrument Champ							Investment	Investment	V?ster?s
2014-01-13	109	1	39.90	sek	ICA V?ster?s	Food/Household							Food/Household	V?ster?s
2014-01-15	109	3	110.04	sek	Coop V?ster?s	Food/Household							Food/Household	V?ster?s
2014-01-16	109	4	29.00	sek	Cash							Cash	Cash	V?ster?s
2014-01-16	109	4	36.97	sek	Coop V?ster?s	Food/Household							Food/Household	V?ster?s
2014-01-17	109	5	139.00	sek	Train to Stockholm							Local Transport	Local Transport	V?ster?s
2014-01-17	109	5	157.00	sek	Train to Stockholm							Local Transport	Local Transport	V?ster?s
