geo,time,gender,age,population
zaf,2001,Female,23,409219.4781
zaf,2001,Female,24,418455.2059
zaf,2001,Female,25,421356.9212
zaf,2001,Female,26,417952.2042
zaf,2001,Female,27,403377.6408
zaf,2001,Female,28,390792.0253
zaf,2001,Female,29,402335.3887
zaf,2001,Female,30,346692.1186
zaf,2001,Female,31,381975.2339
zaf,2001,Female,32,359428.7831
zaf,2001,Female,33,351717.8642
zaf,2001,Female,34,306598.4927
zaf,2001,Female,35,326765.2021
zaf,2001,Female,36,335577.9226
zaf,2001,Female,37,323257.4754
zaf,2001,Female,38,331231.7309
zaf,2001,Female,39,313431.2226
zaf,2001,Female,40,286457.8552
zaf,2001,Female,41,303257.242
zaf,2001,Female,42,280041.2764
zaf,2001,Female,43,276506.0952
zaf,2001,Female,44,239570.024
zaf,2001,Female,45,239148.1728
zaf,2001,Female,46,221968.702
zaf,2001,Female,47,218042.7124
zaf,2001,Female,48,219282.7037
zaf,2001,Female,49,221333.9509
zaf,2001,Female,50,189538.3275
zaf,2001,Female,51,189029.7274
zaf,2001,Female,52,173950.3464
zaf,2001,Female,53,165007.221
zaf,2001,Female,54,150995.1562
zaf,2001,Female,55,139255.2694
zaf,2001,Female,56,132972.8861
zaf,2001,Female,57,121719.0422
zaf,2001,Female,58,123486.7884
zaf,2001,Female,59,135509.2002
zaf,2001,Female,60,126422.6503
zaf,2001,Female,61,160650.782
zaf,2001,Female,62,120538.3177
zaf,2001,Female,63,112355.1682
zaf,2001,Female,64,100816.7951
zaf,2001,Female,65,113035.6481
zaf,2001,Female,66,95311.06484
zaf,2001,Female,67,94195.76471
zaf,2001,Female,68,92763.20356
zaf,2001,Female,69,87857.99016
zaf,2001,Female,70,81004.59064
zaf,2001,Female,71,110463.5278
zaf,2001,Female,72,79461.8839
zaf,2001,Female,73,69195.48365
zaf,2001,Female,74,58796.43596
zaf,2001,Female,75,56962.01907
zaf,2001,Female,76,53926.57975
zaf,2001,Female,77,46705.12822
zaf,2001,Female,78,36831.52357
zaf,2001,Female,79,36675.3972
zaf,2001,Female,80,41994.66091
zaf,2001,Female,81,47862.29675
zaf,2001,Female,82,31986.32478
zaf,2001,Female,83,41318.66076
zaf,2001,Female,84,16948.58057
zaf,2001,Female,85,14969.99998
zaf,2001,Female,86,13437.36618
zaf,2001,Female,87,17398.85611
zaf,2001,Female,88,9332.625266
zaf,2001,Female,89,10241.3021
zaf,2001,Female,90,8467.643948
zaf,2001,Female,91,10514.1827
zaf,2001,Female,92,5065.656583
zaf,2001,Female,93,3529.585342
zaf,2001,Female,94,2829.549031
zaf,2001,Female,95,2775.573656
zaf,2001,Female,96,2178.513865
zaf,2001,Female,97,1978.372363
zaf,2001,Female,98,1641.339955
zaf,2001,Female,99,2662.780267
zaf,2001,Female,100,1702.934248
zaf,2001,Female,101,1144.770598
zaf,2001,Female,102,384.290027
zaf,2001,Female,103,173.804829
zaf,2001,Female,104,157.776684
zaf,2001,Female,105,174.233802
zaf,2001,Female,106,96.059246
zaf,2001,Female,107,58.385638
zaf,2001,Female,108,41.861485
zaf,2001,Female,109,56.848441
zaf,2001,Female,110,71.155023
zaf,2001,Female,111,103.527874
zaf,2001,Female,112,40.016128
zaf,2001,Female,113,27.603747
zaf,2001,Female,114,22.770423
zaf,2001,Female,115,27.608144
zaf,2001,Female,116,12.861666
zaf,2001,Female,117,15.462269
zaf,2001,Female,118,23.404674
zaf,2001,Female,119,19.162833
zaf,2001,Female,120,47.467347
zaf,2011,Male,0,584097.0301
zaf,2011,Male,1,573533.9606
zaf,2011,Male,2,579129.1318
zaf,2011,Male,3,572138.1486
zaf,2011,Male,4,558686.6352
zaf,2011,Male,5,531124.3119
